condition,axis,mag,protocol,nds,map6,rrs
ER,yaw,-16,all,0.2077,0.0322,0.3744
ER,yaw,-12,CAM_FRONT_RIGHT,0.5321,0.4761,0.9594
ER,yaw,-12,CAM_BACK,0.4324,0.2940,0.7797
ER,yaw,-12,CAM_BACK_RIGHT,0.5325,0.4763,0.9601
ER,yaw,-8,CAM_FRONT,0.4618,0.3446,0.8327
ER,yaw,-8,CAM_FRONT_LEFT,0.5142,0.4382,0.9271
ER,yaw,-8,CAM_BACK_LEFT,0.5197,0.4557,0.9370
ER,yaw,-8,all,0.2979,0.1184,0.5370
ER,yaw,-4,CAM_FRONT_RIGHT,0.5460,0.5005,0.9844
ER,yaw,-4,CAM_BACK,0.4910,0.4111,0.8852
ER,yaw,-4,CAM_BACK_RIGHT,0.5473,0.5013,0.9867
ER,yaw,4,CAM_FRONT,0.4984,0.4249,0.8985
ER,yaw,4,CAM_FRONT_LEFT,0.5372,0.4844,0.9686
ER,yaw,4,CAM_BACK_LEFT,0.5389,0.4878,0.9716
ER,yaw,4,all,0.4089,0.2988,0.7373
ER,yaw,8,CAM_FRONT_RIGHT,0.5419,0.4920,0.9770
ER,yaw,8,CAM_BACK,0.4522,0.3257,0.8153
ER,yaw,8,CAM_BACK_RIGHT,0.5418,0.4915,0.9768
ER,yaw,12,CAM_FRONT,0.4492,0.3144,0.8099
ER,yaw,12,CAM_FRONT_LEFT,0.5049,0.4262,0.9104
ER,yaw,12,CAM_BACK_LEFT,0.5126,0.4434,0.9242
ER,yaw,12,all,0.2539,0.0658,0.4578
ER,yaw,16,CAM_FRONT_RIGHT,0.5415,0.4870,0.9762
ER,yaw,16,CAM_BACK,0.4308,0.2747,0.7766
ER,yaw,16,CAM_BACK_RIGHT,0.5333,0.4792,0.9616
ER,yaw,20,CAM_FRONT,0.4421,0.2970,0.7971
ER,yaw,20,CAM_FRONT_LEFT,0.4955,0.4082,0.8933
ER,yaw,20,CAM_BACK_LEFT,0.5001,0.4177,0.9016
ER,yaw,20,all,0.2098,0.0274,0.3783
ER,pitch,-20,CAM_FRONT_RIGHT,0.5471,0.5031,0.9863
ER,pitch,-20,CAM_BACK,0.5184,0.4623,0.9347
ER,pitch,-20,CAM_BACK_RIGHT,0.5517,0.5086,0.9947
ER,pitch,-16,CAM_FRONT,0.5372,0.4901,0.9685
ER,pitch,-16,CAM_FRONT_LEFT,0.5520,0.5118,0.9951
ER,pitch,-16,CAM_BACK_LEFT,0.5516,0.5067,0.9946
ER,pitch,-16,all,0.5111,0.4548,0.9214
ER,pitch,-12,CAM_FRONT_RIGHT,0.5527,0.5104,0.9965
ER,pitch,-12,CAM_BACK,0.5477,0.5050,0.9875
ER,pitch,-12,CAM_BACK_RIGHT,0.5543,0.5128,0.9994
ER,pitch,-8,CAM_FRONT,0.5530,0.5123,0.9970
ER,pitch,-8,CAM_FRONT_LEFT,0.5527,0.5093,0.9964
ER,pitch,-8,CAM_BACK_LEFT,0.5550,0.5130,1.0007
ER,pitch,-8,all,0.5488,0.5058,0.9894
ER,pitch,-4,CAM_FRONT_RIGHT,0.5548,0.5137,1.0002
ER,pitch,-4,CAM_BACK,0.5543,0.5127,0.9993
ER,pitch,-4,CAM_BACK_RIGHT,0.5547,0.5136,1.0001
ER,pitch,4,CAM_FRONT,0.5547,0.5144,1.0001
ER,pitch,4,CAM_FRONT_LEFT,0.5548,0.5144,1.0002
ER,pitch,4,CAM_BACK_LEFT,0.5542,0.5125,0.9992
ER,pitch,4,all,0.5534,0.5133,0.9978
ER,pitch,8,CAM_FRONT_RIGHT,0.5541,0.5125,0.9990
ER,pitch,8,CAM_BACK,0.5518,0.5094,0.9948
ER,pitch,8,CAM_BACK_RIGHT,0.5542,0.5119,0.9992
ER,pitch,12,CAM_FRONT,0.5440,0.4998,0.9808
ER,pitch,12,CAM_FRONT_LEFT,0.5535,0.5121,0.9980
ER,pitch,12,CAM_BACK_LEFT,0.5524,0.5113,0.9959
ER,pitch,12,all,0.5365,0.4918,0.9673
ER,pitch,16,CAM_FRONT_RIGHT,0.5533,0.5114,0.9976
ER,pitch,16,CAM_BACK,0.5428,0.4953,0.9785
ER,pitch,16,CAM_BACK_RIGHT,0.5533,0.5110,0.9976
ER,pitch,20,CAM_FRONT,0.5288,0.4769,0.9535
ER,pitch,20,CAM_FRONT_LEFT,0.5520,0.5122,0.9953
ER,pitch,20,CAM_BACK_LEFT,0.5472,0.5035,0.9866
ER,pitch,20,all,0.4872,0.4203,0.8784
ER,roll,-20,CAM_FRONT_RIGHT,0.5516,0.5093,0.9945
ER,roll,-20,CAM_BACK,0.5444,0.5001,0.9814
ER,roll,-20,CAM_BACK_RIGHT,0.5522,0.5113,0.9956
ER,roll,-16,CAM_FRONT,0.5500,0.5082,0.9916
ER,roll,-16,CAM_FRONT_LEFT,0.5531,0.5123,0.9973
ER,roll,-16,CAM_BACK_LEFT,0.5497,0.5034,0.9911
ER,roll,-16,all,0.5338,0.4872,0.9624
ER,roll,-12,CAM_FRONT_RIGHT,0.5540,0.5132,0.9988
ER,roll,-12,CAM_BACK,0.5518,0.5107,0.9949
ER,roll,-12,CAM_BACK_RIGHT,0.5536,0.5124,0.9980
ER,roll,-8,CAM_FRONT,0.5546,0.5146,0.9999
ER,roll,-8,CAM_FRONT_LEFT,0.5543,0.5129,0.9994
