condition,axis,mag,protocol,nds,map6,rrs
CR,pitch,16,CAM_FRONT,0.4786,0.3779,0.8690
CR,pitch,16,CAM_FRONT_LEFT,0.5181,0.4492,0.9407
CR,pitch,16,CAM_BACK_LEFT,0.4994,0.4141,0.9067
CR,pitch,16,all,0.0334,0.0085,0.0606
CR,pitch,20,CAM_FRONT_RIGHT,0.5338,0.4732,0.9693
CR,pitch,20,CAM_BACK,0.4547,0.3552,0.8256
CR,pitch,20,CAM_BACK_RIGHT,0.5301,0.4597,0.9624
CR,roll,-20,CAM_FRONT,0.4752,0.3723,0.8627
CR,roll,-20,CAM_FRONT_LEFT,0.5145,0.4510,0.9342
CR,roll,-20,CAM_BACK_LEFT,0.5087,0.4298,0.9236
CR,roll,-20,all,0.2180,0.0321,0.3958
CR,roll,-16,CAM_FRONT_RIGHT,0.5340,0.4781,0.9696
CR,roll,-16,CAM_BACK,0.4492,0.3410,0.8156
CR,roll,-16,CAM_BACK_RIGHT,0.5448,0.4831,0.9892
CR,roll,-12,CAM_FRONT,0.4723,0.3668,0.8575
CR,roll,-12,CAM_FRONT_LEFT,0.5180,0.4546,0.9404
CR,roll,-12,CAM_BACK_LEFT,0.5171,0.4416,0.9390
CR,roll,-12,all,0.2658,0.0719,0.4826
CR,roll,-8,CAM_FRONT_RIGHT,0.5381,0.4838,0.9771
CR,roll,-8,CAM_BACK,0.4580,0.3538,0.8317
CR,roll,-8,CAM_BACK_RIGHT,0.5508,0.4970,1.0001
CR,roll,-4,CAM_FRONT,0.5027,0.4271,0.9128
CR,roll,-4,CAM_FRONT_LEFT,0.5274,0.4695,0.9576
CR,roll,-4,CAM_BACK_LEFT,0.5290,0.4663,0.9605
CR,roll,-4,all,0.3976,0.2589,0.7218
CR,roll,4,CAM_FRONT_RIGHT,0.5430,0.4952,0.9860
CR,roll,4,CAM_BACK,0.4833,0.3951,0.8776
CR,roll,4,CAM_BACK_RIGHT,0.5444,0.4903,0.9885
CR,roll,8,CAM_FRONT,0.4762,0.3768,0.8646
CR,roll,8,CAM_FRONT_LEFT,0.5191,0.4523,0.9424
CR,roll,8,CAM_BACK_LEFT,0.5220,0.4567,0.9477
CR,roll,8,all,0.3016,0.1298,0.5476
CR,roll,12,CAM_FRONT_RIGHT,0.5377,0.4847,0.9762
CR,roll,12,CAM_BACK,0.4505,0.3317,0.8179
CR,roll,12,CAM_BACK_RIGHT,0.5380,0.4772,0.9768
CR,roll,16,CAM_FRONT,0.4778,0.3781,0.8675
CR,roll,16,CAM_FRONT_LEFT,0.5133,0.4441,0.9320
CR,roll,16,CAM_BACK_LEFT,0.5145,0.4429,0.9341
CR,roll,16,all,0.2431,0.0627,0.4414
CR,roll,20,CAM_FRONT_RIGHT,0.5357,0.4806,0.9726
CR,roll,20,CAM_BACK,0.4514,0.3365,0.8195
CR,roll,20,CAM_BACK_RIGHT,0.5387,0.4777,0.9782
ER,yaw,-20,CAM_FRONT_RIGHT,0.5223,0.4580,0.9484
ER,yaw,-20,CAM_BACK,0.4132,0.2648,0.7502
ER,yaw,-20,CAM_BACK_RIGHT,0.5249,0.4579,0.9530
ER,yaw,-16,CAM_FRONT,0.4423,0.2998,0.8030
ER,yaw,-16,CAM_FRONT_LEFT,0.5021,0.4124,0.9116
ER,yaw,-16,CAM_BACK_LEFT,0.4973,0.4191,0.9030
ER,yaw,-16,all,0.2074,0.0335,0.3765
ER,yaw,-12,CAM_FRONT_RIGHT,0.5282,0.4701,0.9590
ER,yaw,-12,CAM_BACK,0.4313,0.2947,0.7830
ER,yaw,-12,CAM_BACK_RIGHT,0.5297,0.4699,0.9618
ER,yaw,-8,CAM_FRONT,0.4623,0.3433,0.8395
ER,yaw,-8,CAM_FRONT_LEFT,0.5142,0.4367,0.9336
ER,yaw,-8,CAM_BACK_LEFT,0.5189,0.4523,0.9422
ER,yaw,-8,all,0.2988,0.1197,0.5425
ER,yaw,-4,CAM_FRONT_RIGHT,0.5421,0.4951,0.9844
ER,yaw,-4,CAM_BACK,0.4889,0.4087,0.8878
ER,yaw,-4,CAM_BACK_RIGHT,0.5433,0.4943,0.9865
ER,yaw,4,CAM_FRONT,0.5008,0.4288,0.9093
ER,yaw,4,CAM_FRONT_LEFT,0.5381,0.4836,0.9770
ER,yaw,4,CAM_BACK_LEFT,0.5358,0.4797,0.9729
ER,yaw,4,all,0.4139,0.3076,0.7516
ER,yaw,8,CAM_FRONT_RIGHT,0.5384,0.4864,0.9776
ER,yaw,8,CAM_BACK,0.4511,0.3228,0.8191
ER,yaw,8,CAM_BACK_RIGHT,0.5400,0.4852,0.9804
ER,yaw,12,CAM_FRONT,0.4494,0.3117,0.8159
ER,yaw,12,CAM_FRONT_LEFT,0.5075,0.4271,0.9215
ER,yaw,12,CAM_BACK_LEFT,0.5089,0.4367,0.9240
ER,yaw,12,all,0.2554,0.0682,0.4637
ER,yaw,16,CAM_FRONT_RIGHT,0.5370,0.4776,0.9750
ER,yaw,16,CAM_BACK,0.4258,0.2685,0.7731
ER,yaw,16,CAM_BACK_RIGHT,0.5293,0.4707,0.9610
ER,yaw,20,CAM_FRONT,0.4411,0.2924,0.8008
ER,yaw,20,CAM_FRONT_LEFT,0.4978,0.4098,0.9038
ER,yaw,20,CAM_BACK_LEFT,0.4971,0.4101,0.9026
ER,yaw,20,all,0.2137,0.0256,0.3880
ER,pitch,-20,CAM_FRONT_RIGHT,0.5452,0.4990,0.9899
ER,pitch,-20,CAM_BACK,0.5161,0.4590,0.9371
ER,pitch,-20,CAM_BACK_RIGHT,0.5488,0.5028,0.9965
ER,pitch,-16,CAM_FRONT,0.5354,0.4867,0.9722
ER,pitch,-16,CAM_FRONT_LEFT,0.5478,0.5019,0.9947
ER,pitch,-16,CAM_BACK_LEFT,0.5468,0.4980,0.9928
ER,pitch,-16,all,0.5077,0.4516,0.9219
ER,pitch,-12,CAM_FRONT_RIGHT,0.5487,0.5036,0.9963
ER,pitch,-12,CAM_BACK,0.5452,0.4998,0.9899
ER,pitch,-12,CAM_BACK_RIGHT,0.5503,0.5051,0.9991
ER,pitch,-8,CAM_FRONT,0.5519,0.5113,1.0021
ER,pitch,-8,CAM_FRONT_LEFT,0.5504,0.5056,0.9993
ER,pitch,-8,CAM_BACK_LEFT,0.5519,0.5075,1.0020
ER,pitch,-8,all,0.5502,0.5115,0.9990
ER,pitch,-4,CAM_FRONT_RIGHT,0.5507,0.5073,0.9999
ER,pitch,-4,CAM_BACK,0.5509,0.5058,1.0002
ER,pitch,-4,CAM_BACK_RIGHT,0.5509,0.5075,1.0002
ER,pitch,4,CAM_FRONT,0.5529,0.5122,1.0039
ER,pitch,4,CAM_FRONT_LEFT,0.5513,0.5075,1.0009
ER,pitch,4,CAM_BACK_LEFT,0.5503,0.5047,0.9993
ER,pitch,4,all,0.5532,0.5130,1.0044
ER,pitch,8,CAM_FRONT_RIGHT,0.5504,0.5065,0.9994
ER,pitch,8,CAM_BACK,0.5495,0.5053,0.9977
ER,pitch,8,CAM_BACK_RIGHT,0.5509,0.5048,1.0002
ER,pitch,12,CAM_FRONT,0.5427,0.4974,0.9854
ER,pitch,12,CAM_FRONT_LEFT,0.5512,0.5084,1.0008
ER,pitch,12,CAM_BACK_LEFT,0.5506,0.5076,0.9997
ER,pitch,12,all,0.5371,0.4955,0.9751
ER,pitch,16,CAM_FRONT_RIGHT,0.5499,0.5050,0.9984
ER,pitch,16,CAM_BACK,0.5397,0.4901,0.9800
ER,pitch,16,CAM_BACK_RIGHT,0.5493,0.5025,0.9974
ER,pitch,20,CAM_FRONT,0.5291,0.4726,0.9607
ER,pitch,20,CAM_FRONT_LEFT,0.5498,0.5092,0.9983
ER,pitch,20,CAM_BACK_LEFT,0.5448,0.4986,0.9892
ER,pitch,20,all,0.4887,0.4237,0.8873
ER,roll,-20,CAM_FRONT_RIGHT,0.5494,0.5042,0.9975
ER,roll,-20,CAM_BACK,0.5421,0.4946,0.9843
ER,roll,-20,CAM_BACK_RIGHT,0.5487,0.5051,0.9962
ER,roll,-16,CAM_FRONT,0.5478,0.5025,0.9946
ER,roll,-16,CAM_FRONT_LEFT,0.5513,0.5066,1.0010
ER,roll,-16,CAM_BACK_LEFT,0.5456,0.4961,0.9906
ER,roll,-16,all,0.5336,0.4851,0.9688
ER,roll,-12,CAM_FRONT_RIGHT,0.5507,0.5065,0.9998
ER,roll,-12,CAM_BACK,0.5497,0.5049,0.9980
ER,roll,-12,CAM_BACK_RIGHT,0.5502,0.5061,0.9990
ER,roll,-8,CAM_FRONT,0.5517,0.5086,1.0017
ER,roll,-8,CAM_FRONT_LEFT,0.5505,0.5053,0.9995
