condition,axis,signed_mag,protocol,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,rrs
ER,roll,-16,CAM_BACK_RIGHT,0.4853,0.4305,0.6005,0.1437,0.4010,2.4874,0.1544,0.3078,0.2583,0.9904
ER,roll,-12,all,0.4263,0.3451,0.7293,0.1580,0.4139,2.5726,0.1612,0.2723,0.2071,0.8701
ER,roll,-12,CAM_FRONT,0.4731,0.4144,0.6393,0.1477,0.4102,2.4351,0.1441,0.3006,0.2487,0.9655
ER,roll,-12,CAM_FRONT_RIGHT,0.4885,0.4361,0.5973,0.1445,0.4018,2.4238,0.1514,0.3098,0.2616,0.9970
ER,roll,-12,CAM_FRONT_LEFT,0.4856,0.4315,0.6160,0.1461,0.3956,2.4175,0.1436,0.3082,0.2589,0.9911
ER,roll,-12,CAM_BACK,0.4714,0.4079,0.6288,0.1544,0.3857,2.3655,0.1563,0.2996,0.2447,0.9621
ER,roll,-12,CAM_BACK_LEFT,0.4808,0.4252,0.6167,0.1424,0.4090,2.5482,0.1505,0.3051,0.2551,0.9812
ER,roll,-12,CAM_BACK_RIGHT,0.4880,0.4332,0.5875,0.1442,0.4016,2.4989,0.1529,0.3095,0.2599,0.9959
ER,roll,-8,all,0.4611,0.3956,0.6503,0.1508,0.4002,2.5231,0.1662,0.2931,0.2374,0.9410
ER,roll,-8,CAM_FRONT,0.4793,0.4215,0.6256,0.1469,0.3952,2.4279,0.1469,0.3044,0.2529,0.9782
ER,roll,-8,CAM_FRONT_RIGHT,0.4886,0.4352,0.5984,0.1449,0.3997,2.4145,0.1468,0.3100,0.2611,0.9972
ER,roll,-8,CAM_FRONT_LEFT,0.4893,0.4386,0.6084,0.1461,0.3983,2.4420,0.1466,0.3104,0.2631,0.9987
ER,roll,-8,CAM_BACK,0.4835,0.4245,0.6066,0.1500,0.3783,2.3921,0.1526,0.3070,0.2547,0.9868
ER,roll,-8,CAM_BACK_LEFT,0.4851,0.4307,0.6092,0.1426,0.3998,2.5018,0.1511,0.3078,0.2584,0.9901
ER,roll,-8,CAM_BACK_RIGHT,0.4894,0.4371,0.5903,0.1444,0.4014,2.5100,0.1549,0.3103,0.2622,0.9989
ER,roll,-4,all,0.4862,0.4302,0.6045,0.1467,0.3858,2.4062,0.1524,0.3085,0.2581,0.9922
ER,roll,-4,CAM_FRONT,0.4855,0.4298,0.6082,0.1451,0.3945,2.4227,0.1467,0.3081,0.2579,0.9908
ER,roll,-4,CAM_FRONT_RIGHT,0.4886,0.4353,0.6012,0.1448,0.3998,2.4077,0.1451,0.3100,0.2612,0.9971
ER,roll,-4,CAM_FRONT_LEFT,0.4900,0.4389,0.6031,0.1447,0.4016,2.4412,0.1450,0.3108,0.2634,1.0001
ER,roll,-4,CAM_BACK,0.4900,0.4354,0.6004,0.1461,0.3846,2.3791,0.1462,0.3109,0.2612,1.0000
ER,roll,-4,CAM_BACK_LEFT,0.4887,0.4368,0.6057,0.1444,0.3990,2.4608,0.1478,0.3100,0.2621,0.9974
ER,roll,-4,CAM_BACK_RIGHT,0.4892,0.4354,0.5916,0.1444,0.4007,2.4604,0.1483,0.3103,0.2612,0.9984
ER,roll,4,all,0.4783,0.4277,0.6334,0.1495,0.4086,2.5490,0.1636,0.3035,0.2566,0.9763
ER,roll,4,CAM_FRONT,0.4913,0.4402,0.5942,0.1462,0.3974,2.4211,0.1499,0.3116,0.2641,1.0028
ER,roll,4,CAM_FRONT_RIGHT,0.4908,0.4381,0.5966,0.1443,0.3968,2.4494,0.1454,0.3113,0.2629,1.0016
ER,roll,4,CAM_FRONT_LEFT,0.4868,0.4324,0.6054,0.1450,0.3951,2.4508,0.1484,0.3089,0.2595,0.9936
ER,roll,4,CAM_BACK,0.4818,0.4298,0.6235,0.1462,0.4059,2.5050,0.1556,0.3057,0.2579,0.9832
ER,roll,4,CAM_BACK_LEFT,0.4890,0.4381,0.6033,0.1450,0.4037,2.4568,0.1480,0.3102,0.2628,0.9980
ER,roll,4,CAM_BACK_RIGHT,0.4871,0.4333,0.6079,0.1440,0.4002,2.4410,0.1439,0.3091,0.2600,0.9940
ER,roll,8,all,0.4614,0.4026,0.6695,0.1524,0.4131,2.5188,0.1646,0.2933,0.2416,0.9416
ER,roll,8,CAM_FRONT,0.4881,0.4380,0.6055,0.1477,0.4044,2.4156,0.1516,0.3095,0.2628,0.9961
ER,roll,8,CAM_FRONT_RIGHT,0.4889,0.4357,0.5985,0.1454,0.4013,2.4293,0.1443,0.3102,0.2614,0.9978
ER,roll,8,CAM_FRONT_LEFT,0.4847,0.4303,0.6097,0.1458,0.3964,2.4698,0.1523,0.3076,0.2582,0.9893
ER,roll,8,CAM_BACK,0.4703,0.4133,0.6589,0.1483,0.3981,2.4763,0.1588,0.2988,0.2480,0.9598
ER,roll,8,CAM_BACK_LEFT,0.4881,0.4371,0.6078,0.1458,0.4022,2.4834,0.1482,0.3096,0.2623,0.9962
